ekipa,goli,ime
Manchester City,27,Erling Haaland
Brentford,22,Igor Thiago
Aston Villa,16,Ollie Watkins
Nottingham Forest,15,Morgan Gibbs-White
Leeds United,14,Dominic Calvert-Lewin
AFC Bournemouth,13,Eli Kroupi
Crystal Palace,12,Jean-Philippe Mateta
Liverpool,11,Hugo Ekitike
Chelsea,10,Enzo Fernández
Everton,9,Beto
Burnley,8,Jaidon Anthony
Newcastle United,7,Harvey Barnes
Aston Villa,6,Emi Buendía
Manchester City,5,Jérémy Doku
Leeds United,4,Brenden Aaronson
AFC Bournemouth,3,Amine Adli
Aston Villa,2,Tammy Abraham
Chelsea,1,Josh Acheampong
Liverpool,29,Mohamed Salah
Newcastle United,23,Alexander Isak
Manchester City,22,Erling Haaland
Brentford,20,Bryan Mbeumo
Brentford,19,Yoane Wissa
Aston Villa,16,Ollie Watkins
Wolverhampton Wanderers,15,Matheus Cunha
Crystal Palace,14,Jean-Philippe Mateta
West Ham United,13,Jarrod Bowen
Ipswich Town,12,Liam Delap
Tottenham Hotspur,11,Brennan Johnson
AFC Bournemouth,10,Evanilson
Newcastle United,9,Harvey Barnes
Everton,8,Beto
Aston Villa,7,Jhon Durán
Liverpool,6,Diogo Jota
Leicester City,5,Jordan Ayew
Wolverhampton Wanderers,4,Rayan Aït Nouri
Liverpool,3,Trent Alexander-Arnold
Brighton and Hove Albion,2,Simon Adingra
Chelsea,1,Tosin Adarabioyo
